Namespace,Type,CyclomaticComplexity,DepthOfInheritance,ClassCoupling,LinesOfCode,NumberOfMethods,Toxicity
System.Net.Http.Internal,ByteRangeStream,0,1,0,0,0,1
System.Web.Mvc,CachedDataAnnotationsModelMetadataProvider,0,1,0,0,0,1
System.Web.Mvc,CompareAttributeAdapter,0,1,0,0,0,1
System.Web.Mvc,CompareAttributeAdapter.CompareAttributeWrapper,0,1,0,0,0,1
Microsoft.Web.Mvc,ContentTypeAttribute,0,1,0,0,0,1
Microsoft.Web.Mvc,CopyAsyncParametersAttribute,0,1,0,0,0,1
Microsoft.Web.Mvc,CreditCardAttribute,0,1,0,0,0,1
System.Web.Http.Validation,DefaultBodyModelValidator,0,0,1,0,0,1
System.Collections.Generic,DictionaryExtensions,0,0,0,0,1,1
System.Web.Mvc.Routing,DirectRouteExtensions,0,0,0,0,1,1
System.Web.Razor.Generator,DynamicAttributeBlockCodeGenerator,0,0,0,1,0,1
System.Web.WebPages,DynamicPageDataDictionary<TValue>,0,0,0,0,1,1
WebMatrix.Data,DynamicRecord,0,0,0,0,1,1
Microsoft.Web.Mvc,EmailAddressAttribute,0,1,0,0,0,1
System.Web.Http.Tracing.Tracers,ExceptionFilterAttributeTracer,0,1,0,0,0,1
Microsoft.Web.Mvc,FileExtensionsAttribute,0,1,0,0,0,1
System.Web.Mvc,FileExtensionsAttributeAdapter,0,1,0,0,0,1
System.Web.Http.ModelBinding,FormatterParameterBinding,0,0,1,0,0,1
System.Web.Http.Tracing.Tracers,FormatterParameterBindingTracer,0,0,1,0,0,1
System.Net.Http.Formatting,FormUrlEncodedJson,0,0,0,1,0,1
System.Web.Http,FromUriAttribute,0,1,0,0,0,1
Microsoft.Web.Mvc.Controls,Hidden,0,1,0,0,0,1
System.Web.Http.SelfHost.Channels,HttpBinding,0,0,0,0,1,1
System.Web.Http,HttpConfigurationExtensions,0,0,1,0,0,1
System.Web.Mvc,HttpHandlerUtil.ServerExecuteHttpHandlerWrapper,0,1,0,0,0,1
System.Web.Http.SelfHost.Channels,HttpMessage,0,0,0,0,1,1
System.Web.Http.SelfHost.Channels,HttpMessageEncodingReplyChannel,0,1,0,0,0,1
System.Web.Http.WebHost.Routing,HttpWebRoute,0,0,1,0,0,1
System.Web.Http.Tracing,ITraceWriterExtensions,0,0,0,0,1,1
System.Web.Http.Tracing.Tracers,JsonMediaTypeFormatterTracer,0,1,0,0,0,1
System.Web.Mvc.Html,LabelExtensions,0,0,0,0,1,1
System.Web.Mvc,MaxLengthAttributeAdapter,0,1,0,0,0,1
System.Net.Http.Formatting,MediaTypeFormatterCollection,0,0,0,0,1,1
System.Web.Mvc,MembershipPasswordAttributeAdapter,0,1,0,0,0,1
System.Web.Mvc,MinLengthAttributeAdapter,0,1,0,0,0,1
System.Web.Mvc,ModelBinderDictionary,0,0,0,0,1,1
System.Web.Mvc.Razor,MvcCSharpRazorCodeGenerator,0,1,0,0,0,1
System.Web.Mvc.Razor,MvcCSharpRazorCodeParser,0,1,0,0,0,1
Microsoft.Web.Mvc.Controls,MvcInputControl,0,0,0,1,0,1
System.Web.Mvc.Razor,MvcVBRazorCodeParser,0,1,0,0,0,1
System.Net.Http.Internal,NonClosingDelegatingStream,0,1,0,0,0,1
System.Web.Mvc,OutputCacheAttribute.OutputCachedPage,0,1,0,0,0,1
Microsoft.Web.Mvc.Controls,Password,0,1,0,0,0,1
System.Net.Http.Handlers,ProgressStream,0,1,0,0,0,1
System.Net.Http,PushStreamContent.CompleteTaskOnCloseStream,0,1,0,0,0,1
System.Web.Mvc,RangeAttributeAdapter,0,1,0,0,0,1
System.Web.Http.Results,RedirectToRouteResult,0,0,0,0,1,1
System.Web.Mvc,RegularExpressionAttributeAdapter,0,1,0,0,0,1
System.Web.WebPages.Administration.PackageManager,RemoteAssembly,0,0,0,0,1,1
System.Web.Mvc,RequiredAttributeAdapter,0,1,0,0,0,1
System.Web.Http.Routing,RouteCollectionRoute,0,0,0,0,1,1
System.Web.Http.WebHost,SeekableBufferedRequestStream,0,1,0,0,0,1
System.Web.Http.Controllers,ServicesContainer,0,0,0,0,1,1
Microsoft.AspNet.Facebook,ShowPromptResult,0,1,0,0,0,1
System.Web.WebPages.Administration,SiteAdmin,0,0,0,0,1,1
System.Web.Mvc,StringLengthAttributeAdapter,0,1,0,0,0,1
System.Web.Mvc,TagBuilder,0,0,0,0,1,1
System.Web.Mvc,TempDataDictionary,0,0,0,0,1,1
Microsoft.Web.Mvc.Controls,TextBox,0,1,0,0,0,1
