Method,LOC,NP,v(G)
"org.jboss.as.xts.jandex.WebServiceAnnotation.getPortName()",3,0,1
"org.jboss.as.xts.jandex.WebServiceAnnotation.getServiceName()",3,0,1
"org.jboss.as.xts.jandex.WebServiceAnnotation.getStringValue(AnnotationInstance,String)",16,2,6
"org.jboss.as.xts.jandex.WebServiceAnnotation.getTargetClassName(AnnotationInstance)",9,1,2
"org.jboss.as.xts.jandex.WebServiceAnnotation.getTargetNamespace()",3,0,1
"org.jboss.as.xts.jandex.WebServiceAnnotation.getTargetNamespace(AnnotationInstance)",11,1,3
"org.jboss.as.xts.logging.XtsAsLogger.commonConfigurationUnavailable()",n/a,0,n/a
"org.jboss.as.xts.logging.XtsAsLogger.txBridgeInboundRecoveryServiceFailedToStart()",n/a,0,n/a
"org.jboss.as.xts.logging.XtsAsLogger.txBridgeOutboundRecoveryServiceFailedToStart()",n/a,0,n/a
"org.jboss.as.xts.logging.XtsAsLogger.xtsServiceFailedToStart()",n/a,0,n/a
"org.jboss.as.xts.logging.XtsAsLogger.xtsServiceIsNotStarted()",n/a,0,n/a
"org.jboss.iiop.tm.InboundTransactionCurrent.getCurrentTransaction()",n/a,0,n/a
"org.jboss.system.Service.create()",n/a,0,n/a
"org.jboss.system.Service.destroy()",n/a,0,n/a
"org.jboss.system.Service.start()",n/a,0,n/a
"org.jboss.system.Service.stop()",n/a,0,n/a
"org.jboss.system.ServiceMBean.getName()",n/a,0,n/a
"org.jboss.system.ServiceMBean.getState()",n/a,0,n/a
"org.jboss.system.ServiceMBean.getStateString()",n/a,0,n/a
"org.jboss.system.ServiceMBean.jbossInternalLifecycle(String)",n/a,1,n/a
"org.jboss.system.ServiceMBeanSupport.ServiceMBeanSupport()",11,0,1
"org.jboss.system.ServiceMBeanSupport.ServiceMBeanSupport(Class<?>)",11,1,1
"org.jboss.system.ServiceMBeanSupport.ServiceMBeanSupport(Logger)",9,1,1
"org.jboss.system.ServiceMBeanSupport.ServiceMBeanSupport(String)",11,1,1
"org.jboss.system.ServiceMBeanSupport.create()",3,0,1
"org.jboss.system.ServiceMBeanSupport.createService()",10,0,1
"org.jboss.system.ServiceMBeanSupport.destroy()",7,0,2
"org.jboss.system.ServiceMBeanSupport.destroyService()",10,0,1
"org.jboss.system.ServiceMBeanSupport.getLog()",3,0,1
"org.jboss.system.ServiceMBeanSupport.getName()",10,0,2
"org.jboss.system.ServiceMBeanSupport.getNextNotificationSequenceNumber()",8,0,1
"org.jboss.system.ServiceMBeanSupport.getObjectName(MBeanServer,ObjectName)",11,2,1
"org.jboss.system.ServiceMBeanSupport.getServer()",3,0,1
"org.jboss.system.ServiceMBeanSupport.getServiceName()",3,0,1
"org.jboss.system.ServiceMBeanSupport.getState()",3,0,1
"org.jboss.system.ServiceMBeanSupport.getStateString()",3,0,1
"org.jboss.system.ServiceMBeanSupport.jbossInternalCreate()",28,0,7
"org.jboss.system.ServiceMBeanSupport.jbossInternalDescription()",6,0,2
"org.jboss.system.ServiceMBeanSupport.jbossInternalDestroy()",25,0,7
"org.jboss.system.ServiceMBeanSupport.jbossInternalLifecycle(String)",14,1,6
"org.jboss.system.ServiceMBeanSupport.jbossInternalStart()",31,0,8
"org.jboss.system.ServiceMBeanSupport.jbossInternalStop()",31,0,7
"org.jboss.system.ServiceMBeanSupport.nextNotificationSequenceNumber()",8,0,1
"org.jboss.system.ServiceMBeanSupport.postDeregister()",13,0,3
"org.jboss.system.ServiceMBeanSupport.postRegister(Boolean)",15,1,4
"org.jboss.system.ServiceMBeanSupport.preDeregister()",1,0,1
"org.jboss.system.ServiceMBeanSupport.preRegister(MBeanServer,ObjectName)",18,2,1
"org.jboss.system.ServiceMBeanSupport.sendStateChangeNotification(int,int,String,Throwable)",11,4,1
"org.jboss.system.ServiceMBeanSupport.start()",3,0,1
"org.jboss.system.ServiceMBeanSupport.startService()",10,0,1
"org.jboss.system.ServiceMBeanSupport.stop()",7,0,2
"org.jboss.system.ServiceMBeanSupport.stopService()",10,0,1
"org.jboss.system.logging.ServiceMBeanLogger.destroyingFailed(String)",n/a,1,n/a
"org.jboss.system.logging.ServiceMBeanLogger.errorInDestroy(String)",n/a,1,n/a
"org.jboss.system.logging.ServiceMBeanLogger.errorInStop(String)",n/a,1,n/a
"org.jboss.system.logging.ServiceMBeanLogger.initializationFailed(String)",n/a,1,n/a
"org.jboss.system.logging.ServiceMBeanLogger.nullMethodName()",n/a,0,n/a
"org.jboss.system.logging.ServiceMBeanLogger.postRegisterInitializationFailed()",n/a,0,n/a
"org.jboss.system.logging.ServiceMBeanLogger.startingFailed(String)",n/a,1,n/a
"org.jboss.system.logging.ServiceMBeanLogger.stoppingFailed(String)",n/a,1,n/a
"org.jboss.system.logging.ServiceMBeanLogger.unknownLifecycleMethod(String)",n/a,1,n/a
"org.jipijapa.JipiLogger.cannotChangeInputStream()",n/a,0,n/a
"org.jipijapa.JipiLogger.cannotLoadEntityClass(Throwable,String)",n/a,2,n/a
"org.jipijapa.JipiLogger.cannotOpenVFSStream(Throwable,String)",n/a,2,n/a
"org.jipijapa.JipiLogger.emptyParameter(String)",n/a,1,n/a
"org.jipijapa.JipiLogger.missingPersistenceUnitMetadata()",n/a,0,n/a
"org.jipijapa.JipiLogger.notYetImplemented()",n/a,0,n/a
"org.jipijapa.JipiLogger.nullVar(String)",n/a,1,n/a
"org.jipijapa.JipiLogger.uriSyntaxException(Throwable)",n/a,1,n/a
"org.jipijapa.cache.spi.Classification.Classification(String)",3,1,1
"org.jipijapa.cache.spi.Classification.forName(String)",4,1,2
"org.jipijapa.cache.spi.Classification.getLocalName()",8,0,1
"org.jipijapa.cache.spi.Wrapper.getValue()",n/a,0,n/a
"org.jipijapa.eclipselink.EclipseLinkPersistenceProviderAdaptor.addProviderDependencies(PersistenceUnitMetadata)",4,1,1
"org.jipijapa.eclipselink.EclipseLinkPersistenceProviderAdaptor.addProviderProperties(Map,PersistenceUnitMetadata)",9,2,2
"org.jipijapa.eclipselink.EclipseLinkPersistenceProviderAdaptor.afterCreateContainerEntityManagerFactory(PersistenceUnitMetadata)",5,1,1
"org.jipijapa.eclipselink.EclipseLinkPersistenceProviderAdaptor.beforeCreateContainerEntityManagerFactory(PersistenceUnitMetadata)",5,1,1
"org.jipijapa.eclipselink.EclipseLinkPersistenceProviderAdaptor.cleanup(PersistenceUnitMetadata)",4,1,1
"org.jipijapa.eclipselink.EclipseLinkPersistenceProviderAdaptor.doesScopedPersistenceUnitNameIdentifyCacheRegionName(PersistenceUnitMetadata)",4,1,1
"org.jipijapa.eclipselink.EclipseLinkPersistenceProviderAdaptor.getManagementAdaptor()",5,0,1
"org.jipijapa.eclipselink.EclipseLinkPersistenceProviderAdaptor.injectJtaManager(JtaManager)",4,1,1
"org.jipijapa.eclipselink.EclipseLinkPersistenceProviderAdaptor.injectPlatform(Platform)",3,1,1
"org.jipijapa.eclipselink.JBossAS7ServerPlatform.JBossAS7ServerPlatform(DatabaseSession)",3,1,1
"org.jipijapa.eclipselink.JBossArchiveFactoryImpl.JBossArchiveFactoryImpl()",3,0,1
"org.jipijapa.eclipselink.JBossArchiveFactoryImpl.JBossArchiveFactoryImpl(Logger)",3,1,1
"org.jipijapa.eclipselink.JBossArchiveFactoryImpl.createArchive(URL,String,Map)",9,3,2
"org.jipijapa.eclipselink.JBossLogger.convertLevelIntToEnum(int)",19,1,7
"org.jipijapa.eclipselink.JBossLogger.getLoggerForCategory(String)",8,1,3
"org.jipijapa.eclipselink.JBossLogger.log(SessionLogEntry)",7,1,1
"org.jipijapa.eclipselink.JBossLogger.shouldDisplayData()",13,0,2
"org.jipijapa.eclipselink.JBossLogger.shouldLog(int,String)",4,2,1
"org.jipijapa.eclipselink.VFSArchive.VFSArchive(URL,String)",4,2,2
"org.jipijapa.eclipselink.VFSArchive.close()",2,0,1
"org.jipijapa.eclipselink.VFSArchive.getDescriptorStream()",4,0,1
"org.jipijapa.eclipselink.VFSArchive.getEntries()",4,0,1
"org.jipijapa.eclipselink.VFSArchive.getEntry(String)",4,1,2
"org.jipijapa.eclipselink.VFSArchive.getEntryAsURL(String)",4,1,2
"org.jipijapa.eclipselink.VFSArchive.getRootURL()",4,0,1
"org.jipijapa.eclipselink.WildFlyServerPlatform.JBossAS7TransactionController.acquireTransactionManager()",8,0,2
"org.jipijapa.eclipselink.WildFlyServerPlatform.WildFlyServerPlatform(DatabaseSession)",3,1,1
"org.jipijapa.eclipselink.WildFlyServerPlatform.getExternalTransactionControllerClass()",4,0,1
"org.jipijapa.event.impl.EventListenerRegistration.add(EventListener)",3,1,1
"org.jipijapa.event.impl.EventListenerRegistration.remove(EventListener)",3,1,1
"org.jipijapa.event.impl.internal.Notification.add(EventListener)",3,1,1
"org.jipijapa.event.impl.internal.Notification.addCacheDependencies(Classification,Properties)",10,2,2
"org.jipijapa.event.impl.internal.Notification.afterEntityManagerFactoryCreate(Classification,PersistenceUnitMetadata)",9,2,2
"org.jipijapa.event.impl.internal.Notification.beforeEntityManagerFactoryCreate(Classification,PersistenceUnitMetadata)",9,2,2
"org.jipijapa.event.impl.internal.Notification.remove(EventListener)",3,1,1
"org.jipijapa.event.impl.internal.Notification.startCache(Classification,Properties)",17,2,4
"org.jipijapa.event.impl.internal.Notification.stopCache(Classification,Wrapper,boolean)",11,3,2
"org.jipijapa.event.spi.EventListener.addCacheDependencies(Classification,Properties)",n/a,2,n/a
"org.jipijapa.event.spi.EventListener.afterEntityManagerFactoryCreate(Classification,PersistenceUnitMetadata)",n/a,2,n/a
"org.jipijapa.event.spi.EventListener.beforeEntityManagerFactoryCreate(Classification,PersistenceUnitMetadata)",n/a,2,n/a
"org.jipijapa.event.spi.EventListener.startCache(Classification,Properties)",n/a,2,n/a
"org.jipijapa.event.spi.EventListener.stopCache(Classification,Wrapper,boolean)",n/a,3,n/a
"org.jipijapa.management.spi.EntityManagerFactoryAccess.entityManagerFactory(String)",n/a,1,n/a
"org.jipijapa.management.spi.Operation.invoke(Object...)",n/a,1,n/a
"org.jipijapa.management.spi.PathAddress.getValue(String)",n/a,1,n/a
"org.jipijapa.management.spi.PathAddress.getValue(int)",n/a,1,n/a
"org.jipijapa.management.spi.PathAddress.size()",n/a,0,n/a
"org.jipijapa.management.spi.StatisticName.getName()",n/a,0,n/a
"org.jipijapa.management.spi.Statistics.getChild(String)",n/a,1,n/a
"org.jipijapa.management.spi.Statistics.getChildrenNames()",n/a,0,n/a
"org.jipijapa.management.spi.Statistics.getDynamicChildrenNames(EntityManagerFactoryAccess,PathAddress)",n/a,2,n/a
"org.jipijapa.management.spi.Statistics.getNames()",n/a,0,n/a
"org.jipijapa.management.spi.Statistics.getResourceBundleKeyPrefix()",n/a,0,n/a
"org.jipijapa.management.spi.Statistics.getResourceBundleName()",n/a,0,n/a
"org.jipijapa.management.spi.Statistics.getType(String)",n/a,1,n/a
"org.jipijapa.management.spi.Statistics.getValue(String,EntityManagerFactoryAccess,StatisticName,PathAddress)",n/a,4,n/a
"org.jipijapa.management.spi.Statistics.isAttribute(String)",n/a,1,n/a
"org.jipijapa.management.spi.Statistics.isOperation(String)",n/a,1,n/a
"org.jipijapa.management.spi.Statistics.isWriteable(String)",n/a,1,n/a
"org.jipijapa.management.spi.Statistics.setValue(String,Object,EntityManagerFactoryAccess,StatisticName,PathAddress)",n/a,5,n/a
"org.jipijapa.plugin.spi.EntityManagerFactoryBuilder.build()",n/a,0,n/a
"org.jipijapa.plugin.spi.EntityManagerFactoryBuilder.cancel()",n/a,0,n/a
"org.jipijapa.plugin.spi.EntityManagerFactoryBuilder.withValidatorFactory(Object)",n/a,1,n/a
"org.jipijapa.plugin.spi.JtaManager.getSynchronizationRegistry()",n/a,0,n/a
"org.jipijapa.plugin.spi.JtaManager.locateTransactionManager()",n/a,0,n/a
"org.jipijapa.plugin.spi.ManagementAdaptor.getIdentificationLabel()",n/a,0,n/a
"org.jipijapa.plugin.spi.ManagementAdaptor.getStatistics()",n/a,0,n/a
"org.jipijapa.plugin.spi.ManagementAdaptor.getVersion()",n/a,0,n/a
"org.jipijapa.plugin.spi.PersistenceProviderAdaptor.addProviderDependencies(PersistenceUnitMetadata)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceProviderAdaptor.addProviderProperties(Map,PersistenceUnitMetadata)",n/a,2,n/a
"org.jipijapa.plugin.spi.PersistenceProviderAdaptor.afterCreateContainerEntityManagerFactory(PersistenceUnitMetadata)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceProviderAdaptor.beforeCreateContainerEntityManagerFactory(PersistenceUnitMetadata)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceProviderAdaptor.cleanup(PersistenceUnitMetadata)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceProviderAdaptor.doesScopedPersistenceUnitNameIdentifyCacheRegionName(PersistenceUnitMetadata)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceProviderAdaptor.getManagementAdaptor()",n/a,0,n/a
"org.jipijapa.plugin.spi.PersistenceProviderAdaptor.injectJtaManager(JtaManager)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceProviderAdaptor.injectPlatform(Platform)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.getAnnotationIndex()",n/a,0,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.getJarFiles()",n/a,0,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.getJtaDataSourceName()",n/a,0,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.getNonJtaDataSourceName()",n/a,0,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.getScopedPersistenceUnitName()",n/a,0,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.getTransformers()",n/a,0,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.setAnnotationIndex(Map<URL, Index>)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.setClassLoader(ClassLoader)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.setExcludeUnlistedClasses(boolean)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.setJarFileUrls(List<URL>)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.setJarFiles(List<String>)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.setJtaDataSource(DataSource)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.setJtaDataSourceName(String)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.setManagedClassNames(List<String>)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.setMappingFiles(List<String>)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.setNonJtaDataSource(DataSource)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.setNonJtaDataSourceName(String)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.setPersistenceProviderClassName(String)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.setPersistenceUnitName(String)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.setPersistenceUnitRootUrl(URL)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.setPersistenceXMLSchemaVersion(String)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.setProperties(Properties)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.setScopedPersistenceUnitName(String)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.setSharedCacheMode(SharedCacheMode)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.setTempClassLoaderFactory(TempClassLoaderFactory)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.setTransactionType(PersistenceUnitTransactionType)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceUnitMetadata.setValidationMode(ValidationMode)",n/a,1,n/a
"org.jipijapa.plugin.spi.PersistenceUnitService.getEntityManagerFactory()",n/a,0,n/a
"org.jipijapa.plugin.spi.PersistenceUnitService.getScopedPersistenceUnitName()",n/a,0,n/a
"org.jipijapa.plugin.spi.PersistenceUnitServiceRegistry.getPersistenceUnitService(String)",n/a,1,n/a
"org.jipijapa.plugin.spi.Platform.cacheClassifications()",n/a,0,n/a
"org.jipijapa.plugin.spi.Platform.defaultCacheClassification()",n/a,0,n/a
"org.jipijapa.plugin.spi.TempClassLoaderFactory.createNewTempClassLoader()",n/a,0,n/a
"org.jipijapa.plugin.spi.TwoPhaseBootstrapCapable.getBootstrap(PersistenceUnitInfo,Map)",n/a,2,n/a
"org.wildfly.clustering.dispatcher.Command.execute(C)",n/a,1,n/a
"org.wildfly.clustering.dispatcher.CommandDispatcher.close()",n/a,0,n/a
"org.wildfly.clustering.dispatcher.CommandDispatcher.executeOnCluster(Command<R, C>,Node...)",n/a,2,n/a
"org.wildfly.clustering.dispatcher.CommandDispatcher.executeOnNode(Command<R, C>,Node)",n/a,2,n/a
"org.wildfly.clustering.dispatcher.CommandDispatcher.submitOnCluster(Command<R, C>,Node...)",n/a,2,n/a
"org.wildfly.clustering.dispatcher.CommandDispatcher.submitOnNode(Command<R, C>,Node)",n/a,2,n/a
"org.wildfly.clustering.dispatcher.CommandDispatcherFactory.createCommandDispatcher(Object,C)",n/a,2,n/a
"org.wildfly.clustering.dispatcher.CommandDispatcherFactory.getGroup()",n/a,0,n/a
"org.wildfly.clustering.dispatcher.CommandResponse.get()",n/a,0,n/a
"org.wildfly.clustering.ee.Batch.close()",n/a,0,n/a
"org.wildfly.clustering.ee.Batch.discard()",n/a,0,n/a
"org.wildfly.clustering.ee.BatchContext.close()",n/a,0,n/a
"org.wildfly.clustering.ee.Batcher.createBatch()",n/a,0,n/a
"org.wildfly.clustering.ee.Batcher.resumeBatch(B)",n/a,1,n/a
"org.wildfly.clustering.ee.Batcher.suspendBatch()",n/a,0,n/a
"org.wildfly.clustering.ee.Invoker.invoke(Callable<R>)",n/a,1,n/a
"org.wildfly.clustering.ee.Recordable.record(T)",n/a,1,n/a
"org.wildfly.clustering.ee.Recordable.reset()",n/a,0,n/a
"org.wildfly.clustering.ee.infinispan.CacheEntryMutator.CacheEntryMutator(Cache<K, V>,K,V)",6,3,2
"org.wildfly.clustering.ee.infinispan.CacheEntryMutator.mutate()",8,0,3
"org.wildfly.clustering.ee.infinispan.Creator.createValue(K,C)",n/a,2,n/a
"org.wildfly.clustering.ee.infinispan.Evictor.evict(K)",n/a,1,n/a
"org.wildfly.clustering.ee.infinispan.InfinispanBatch.InfinispanBatch(Transaction)",3,1,1
"org.wildfly.clustering.ee.infinispan.InfinispanBatch.close()",14,0,4
"org.wildfly.clustering.ee.infinispan.InfinispanBatch.discard()",4,0,1
"org.wildfly.clustering.ee.infinispan.InfinispanBatch.getTransaction()",4,0,1
"org.wildfly.clustering.ee.infinispan.InfinispanBatch.interpose()",5,0,1
"org.wildfly.clustering.ee.infinispan.InfinispanBatcher.InfinispanBatcher(Cache<?, ?>)",3,1,1
"org.wildfly.clustering.ee.infinispan.InfinispanBatcher.InfinispanBatcher(TransactionManager)",3,1,1
"org.wildfly.clustering.ee.infinispan.InfinispanBatcher.createBatch()",19,0,4
"org.wildfly.clustering.ee.infinispan.InfinispanBatcher.resumeBatch(TransactionBatch)",43,1,11
"org.wildfly.clustering.ee.infinispan.InfinispanBatcher.suspendBatch()",18,0,5
"org.wildfly.clustering.ee.infinispan.Locator.findValue(K)",n/a,1,n/a
"org.wildfly.clustering.ee.infinispan.Locator.tryValue(K)",8,1,1
"org.wildfly.clustering.ee.infinispan.MutableCacheEntry.MutableCacheEntry(V,Mutator)",4,2,1
"org.wildfly.clustering.ee.infinispan.MutableCacheEntry.getMutator()",3,0,1
"org.wildfly.clustering.ee.infinispan.MutableCacheEntry.getValue()",3,0,1
"org.wildfly.clustering.ee.infinispan.Mutator.mutate()",n/a,0,n/a
"org.wildfly.clustering.ee.infinispan.Remover.purge(K)",8,1,1
"org.wildfly.clustering.ee.infinispan.Remover.remove(K)",n/a,1,n/a
"org.wildfly.clustering.ee.infinispan.RetryingInvoker.RetryingInvoker(long...)",3,1,1
"org.wildfly.clustering.ee.infinispan.RetryingInvoker.RetryingInvoker(long[],TimeUnit)",4,2,1
"org.wildfly.clustering.ee.infinispan.RetryingInvoker.invoke(Callable<R>)",26,1,7
"org.wildfly.clustering.ee.infinispan.TransactionBatch.getTransaction()",n/a,0,n/a
"org.wildfly.clustering.ee.infinispan.TransactionBatch.interpose()",n/a,0,n/a
"org.wildfly.clustering.ejb.AffinitySupport.getStrictAffinity()",n/a,0,n/a
"org.wildfly.clustering.ejb.AffinitySupport.getWeakAffinity(I)",n/a,1,n/a
"org.wildfly.clustering.ejb.Bean.acquire()",n/a,0,n/a
"org.wildfly.clustering.ejb.Bean.close()",n/a,0,n/a
"org.wildfly.clustering.ejb.Bean.getGroupId()",n/a,0,n/a
"org.wildfly.clustering.ejb.Bean.getId()",n/a,0,n/a
"org.wildfly.clustering.ejb.Bean.isExpired()",n/a,0,n/a
"org.wildfly.clustering.ejb.Bean.isValid()",n/a,0,n/a
"org.wildfly.clustering.ejb.Bean.release()",n/a,0,n/a
"org.wildfly.clustering.ejb.Bean.remove(RemoveListener<T>)",n/a,1,n/a
"org.wildfly.clustering.ejb.BeanContext.getBeanName()",n/a,0,n/a
"org.wildfly.clustering.ejb.BeanContext.getClassLoader()",n/a,0,n/a
"org.wildfly.clustering.ejb.BeanContext.getDeploymentUnitServiceName()",n/a,0,n/a
"org.wildfly.clustering.ejb.BeanContext.getModuleLoader()",n/a,0,n/a
"org.wildfly.clustering.ejb.BeanContext.getTimeout()",n/a,0,n/a
"org.wildfly.clustering.ejb.BeanManager.containsBean(I)",n/a,1,n/a
"org.wildfly.clustering.ejb.BeanManager.createBean(I,I,T)",n/a,3,n/a
"org.wildfly.clustering.ejb.BeanManager.findBean(I)",n/a,1,n/a
"org.wildfly.clustering.ejb.BeanManager.getBatcher()",n/a,0,n/a
"org.wildfly.clustering.ejb.BeanManager.getIdentifierFactory()",n/a,0,n/a
"org.wildfly.clustering.ejb.BeanManager.isRemotable(Throwable)",n/a,1,n/a
"org.wildfly.clustering.ejb.BeanManager.start()",n/a,0,n/a
"org.wildfly.clustering.ejb.BeanManager.stop()",n/a,0,n/a
"org.wildfly.clustering.ejb.BeanManagerFactory.createBeanManager(IdentifierFactory<I>,PassivationListener<T>,RemoveListener<T>)",n/a,3,n/a
"org.wildfly.clustering.ejb.BeanManagerFactoryBuilderConfiguration.getCacheName()",n/a,0,n/a
"org.wildfly.clustering.ejb.BeanManagerFactoryBuilderConfiguration.getContainerName()",n/a,0,n/a
"org.wildfly.clustering.ejb.BeanManagerFactoryBuilderFactory.getBeanManagerFactoryBuilder(BeanContext)",n/a,1,n/a
"org.wildfly.clustering.ejb.BeanManagerFactoryBuilderFactory.getDeploymentBuilders(ServiceName)",n/a,1,n/a
"org.wildfly.clustering.ejb.BeanManagerFactoryBuilderFactoryProvider.getBeanManagerFactoryBuilder(String,BeanManagerFactoryBuilderConfiguration)",n/a,2,n/a
"org.wildfly.clustering.ejb.BeanManagerStatistics.getActiveCount()",n/a,0,n/a
"org.wildfly.clustering.ejb.BeanManagerStatistics.getPassiveCount()",n/a,0,n/a
"org.wildfly.clustering.ejb.BeanPassivationConfiguration.getMaxSize()",n/a,0,n/a
"org.wildfly.clustering.ejb.BeanPassivationConfiguration.setMaxSize(int)",n/a,1,n/a
"org.wildfly.clustering.ejb.IdentifierFactory.createIdentifier()",n/a,0,n/a
"org.wildfly.clustering.ejb.PassivationListener.postActivate(T)",n/a,1,n/a
"org.wildfly.clustering.ejb.PassivationListener.prePassivate(T)",n/a,1,n/a
"org.wildfly.clustering.ejb.RemoveListener.removed(T)",n/a,1,n/a
"org.wildfly.clustering.ejb.Time.Time(long,TimeUnit)",4,2,1
"org.wildfly.clustering.ejb.Time.convert(TimeUnit)",3,1,1
"org.wildfly.clustering.ejb.Time.equals(Object)",7,1,3
"org.wildfly.clustering.ejb.Time.getUnit()",3,0,1
"org.wildfly.clustering.ejb.Time.getValue()",3,0,1
"org.wildfly.clustering.ejb.Time.hashCode()",4,0,1
"org.wildfly.clustering.ejb.Time.toString()",4,0,1
"org.wildfly.clustering.ejb.infinispan.BasicSessionIDExternalizer.BasicSessionIDExternalizer()",3,0,1
"org.wildfly.clustering.ejb.infinispan.BeanEntry.getBeanName()",n/a,0,n/a
"org.wildfly.clustering.ejb.infinispan.BeanEntry.getGroupId()",n/a,0,n/a
"org.wildfly.clustering.ejb.infinispan.BeanEntry.getLastAccessedTime()",n/a,0,n/a
"org.wildfly.clustering.ejb.infinispan.BeanEntry.setLastAccessedTime(Date)",n/a,1,n/a
"org.wildfly.clustering.ejb.infinispan.BeanExpirationScheduler.BeanExpirationScheduler(Batcher<TransactionBatch>,BeanRemover<I, T>,ExpirationConfiguration<T>)",5,3,1
"org.wildfly.clustering.ejb.infinispan.BeanExpirationScheduler.ExpirationTask.ExpirationTask(I)",3,1,1
"org.wildfly.clustering.ejb.infinispan.BeanExpirationScheduler.ExpirationTask.run()",16,0,2
"org.wildfly.clustering.ejb.infinispan.BeanExpirationScheduler.cancel(I)",7,1,2
"org.wildfly.clustering.ejb.infinispan.BeanExpirationScheduler.cancel(Locality)",8,1,3
"org.wildfly.clustering.ejb.infinispan.BeanExpirationScheduler.close()",18,0,6
"org.wildfly.clustering.ejb.infinispan.BeanExpirationScheduler.schedule(I)",14,1,2
"org.wildfly.clustering.ejb.infinispan.BeanFactory.createBean(I,BeanEntry<I>)",n/a,2,n/a
"org.wildfly.clustering.ejb.infinispan.BeanFactory.createKey(I)",n/a,1,n/a
"org.wildfly.clustering.ejb.infinispan.BeanFilter.BeanFilter(String)",3,1,1
"org.wildfly.clustering.ejb.infinispan.BeanFilter.accept(Object,Object,Metadata,Object,Metadata,EventType)",4,6,2
"org.wildfly.clustering.ejb.infinispan.BeanFilter.test(Object)",13,1,4
"org.wildfly.clustering.ejb.infinispan.BeanGroup.addBean(I,T)",n/a,2,n/a
"org.wildfly.clustering.ejb.infinispan.BeanGroup.close()",n/a,0,n/a
"org.wildfly.clustering.ejb.infinispan.BeanGroup.getBean(I,PassivationListener<T>)",n/a,2,n/a
"org.wildfly.clustering.ejb.infinispan.BeanGroup.getBeans()",n/a,0,n/a
"org.wildfly.clustering.ejb.infinispan.BeanGroup.getId()",n/a,0,n/a
"org.wildfly.clustering.ejb.infinispan.BeanGroup.isCloseable()",n/a,0,n/a
"org.wildfly.clustering.ejb.infinispan.BeanGroup.postActivate(I,PassivationListener<T>)",n/a,2,n/a
"org.wildfly.clustering.ejb.infinispan.BeanGroup.prePassivate(I,PassivationListener<T>)",n/a,2,n/a
"org.wildfly.clustering.ejb.infinispan.BeanGroup.releaseBean(I,PassivationListener<T>)",n/a,2,n/a
"org.wildfly.clustering.ejb.infinispan.BeanGroup.removeBean(I)",n/a,1,n/a
"org.wildfly.clustering.ejb.infinispan.BeanGroupEntry.decrementUsage(I)",n/a,1,n/a
"org.wildfly.clustering.ejb.infinispan.BeanGroupEntry.getBeans()",n/a,0,n/a
"org.wildfly.clustering.ejb.infinispan.BeanGroupEntry.incrementUsage(I)",n/a,1,n/a
"org.wildfly.clustering.ejb.infinispan.BeanGroupEntry.totalUsage()",n/a,0,n/a
"org.wildfly.clustering.ejb.infinispan.BeanGroupEvictionCommand.BeanGroupEvictionCommand(I)",3,1,1
