Method,LOC,NP,v(G)
"org.jboss.as.appclient.service.ApplicationClientStartService.SetSelectorAction.SetSelectorAction(ContextSelector<EJBClientContext>)",3,1,1
"org.jboss.as.appclient.service.ApplicationClientStartService.SetSelectorAction.run()",4,0,1
"org.jboss.as.appclient.service.ApplicationClientStartService.getApplicationClientComponent()",3,0,1
"org.jboss.as.appclient.service.ApplicationClientStartService.getApplicationClientDeploymentServiceInjectedValue()",3,0,1
"org.jboss.as.appclient.service.ApplicationClientStartService.getValue()",4,0,1
"org.jboss.as.appclient.service.ApplicationClientStartService.start(StartContext)",6,1,8
"org.jboss.as.appclient.service.ApplicationClientStartService.stop(StopContext)",8,1,2
"org.jboss.as.appclient.service.DefaultApplicationClientCallbackHandler.getSubjectInfo(SecurityContext)",4,1,2
"org.jboss.as.appclient.service.DefaultApplicationClientCallbackHandler.handle(Callback[])",40,1,11
"org.jboss.as.appclient.service.LazyConnectionContextSelector.LazyConnectionContextSelector(String,CallbackHandler,ClassLoader)",5,3,1
"org.jboss.as.appclient.service.LazyConnectionContextSelector.close()",16,0,5
"org.jboss.as.appclient.service.LazyConnectionContextSelector.createConnection()",21,0,3
"org.jboss.as.appclient.service.LazyConnectionContextSelector.getCurrent()",11,0,3
"org.jboss.as.appclient.service.RealmCallbackWrapper.RealmCallbackWrapper(CallbackHandler)",3,1,1
"org.jboss.as.appclient.service.RealmCallbackWrapper.handle(Callback[])",12,1,4
"org.jboss.as.appclient.subsystem.AppClientExtension.ApplicationClientSubsystemParser.readElement(XMLExtendedStreamReader,List<ModelNode>)",9,2,1
"org.jboss.as.appclient.subsystem.AppClientExtension.ApplicationClientSubsystemParser.writeContent(XMLExtendedStreamWriter,SubsystemMarshallingContext)",8,2,1
"org.jboss.as.appclient.subsystem.AppClientExtension.getResourceDescriptionResolver()",3,0,1
"org.jboss.as.appclient.subsystem.AppClientExtension.initialize(ExtensionContext)",6,1,1
"org.jboss.as.appclient.subsystem.AppClientExtension.initializeParsers(ExtensionParsingContext)",4,1,1
"org.jboss.as.appclient.subsystem.AppClientServerConfiguration.AppClientServerConfiguration()",2,0,1
"org.jboss.as.appclient.subsystem.AppClientServerConfiguration.appclient(List<ModelNode>,String,String,String,String,List<String>)",22,6,6
"org.jboss.as.appclient.subsystem.AppClientServerConfiguration.loadExtension(List<ModelNode>,String)",6,2,1
"org.jboss.as.appclient.subsystem.AppClientServerConfiguration.serverConfiguration(String,String,String,String,List<String>,List<ModelNode>)",8,6,2
"org.jboss.as.appclient.subsystem.AppClientSubsystemAdd.AppClientSubsystemAdd()",3,0,1
"org.jboss.as.appclient.subsystem.AppClientSubsystemAdd.performBoottime(OperationContext,ModelNode,ModelNode)",11,3,5
"org.jboss.as.appclient.subsystem.AppClientSubsystemAdd.populateModel(ModelNode,ModelNode)",5,2,2
"org.jboss.as.appclient.subsystem.AppClientSubsystemResourceDefinition.AppClientSubsystemResourceDefinition()",6,0,1
"org.jboss.as.appclient.subsystem.AppClientSubsystemResourceDefinition.registerAttributes(ManagementResourceRegistration)",6,1,2
"org.jboss.as.appclient.subsystem.ApplicationClientConfigurationPersister.ApplicationClientConfigurationPersister(String,String,String,String,List<String>,File,QName,XMLElementReader<List<ModelNode>>)",8,8,1
"org.jboss.as.appclient.subsystem.ApplicationClientConfigurationPersister.deleteSnapshot(String)",3,1,1
"org.jboss.as.appclient.subsystem.ApplicationClientConfigurationPersister.listSnapshots()",4,0,1
"org.jboss.as.appclient.subsystem.ApplicationClientConfigurationPersister.load()",5,0,1
"org.jboss.as.appclient.subsystem.ApplicationClientConfigurationPersister.marshallAsXml(ModelNode,OutputStream)",3,2,1
"org.jboss.as.appclient.subsystem.ApplicationClientConfigurationPersister.registerSubsystemWriter(String,XMLElementWriter<SubsystemMarshallingContext>)",3,2,1
"org.jboss.as.appclient.subsystem.ApplicationClientConfigurationPersister.snapshot()",4,0,1
"org.jboss.as.appclient.subsystem.ApplicationClientConfigurationPersister.store(ModelNode,Set<PathAddress>)",3,2,1
"org.jboss.as.appclient.subsystem.ApplicationClientConfigurationPersister.successfulBoot()",3,0,1
"org.jboss.as.appclient.subsystem.CommandLineArgumentUsageImpl.init()",18,0,1
"org.jboss.as.appclient.subsystem.CommandLineArgumentUsageImpl.printUsage(PrintStream)",4,1,1
"org.jboss.as.appclient.subsystem.Main.Main()",2,0,1
"org.jboss.as.appclient.subsystem.Main.abort(Throwable)",9,1,2
"org.jboss.as.appclient.subsystem.Main.determineEnvironment(String[],Properties,Map<String, String>,LaunchType)",107,4,38
"org.jboss.as.appclient.subsystem.Main.main(String[])",12,1,10
"org.jboss.as.appclient.subsystem.Main.makeURL(String)",21,1,4
"org.jboss.as.appclient.subsystem.Main.parseValue(String,String)",10,2,3
"org.jboss.as.appclient.subsystem.Main.processProperties(String,String)",17,2,3
"org.jboss.as.appclient.subsystem.Main.usage()",3,0,1
"org.jboss.as.appclient.subsystem.parsing.AppClientXml.AppClientSocketBindingsXml.writeExtraAttributes(XMLExtendedStreamWriter,ModelNode)",4,2,1
"org.jboss.as.appclient.subsystem.parsing.AppClientXml.AppClientXml(ModuleLoader,ExtensionRegistry)",4,2,1
"org.jboss.as.appclient.subsystem.parsing.AppClientXml.parseServerProfile(XMLExtendedStreamReader,ModelNode,List<ModelNode>)",28,3,7
"org.jboss.as.appclient.subsystem.parsing.AppClientXml.parseSocketBindingGroup(XMLExtendedStreamReader,Set<String>,ModelNode,Namespace,List<ModelNode>)",65,5,14
"org.jboss.as.appclient.subsystem.parsing.AppClientXml.readElement(XMLExtendedStreamReader,List<ModelNode>)",22,2,6
"org.jboss.as.appclient.subsystem.parsing.AppClientXml.readServerElement_1_0(XMLExtendedStreamReader,ModelNode,List<ModelNode>)",85,3,17
"org.jboss.as.appclient.subsystem.parsing.AppClientXml.readServerElement_1_1(Namespace,XMLExtendedStreamReader,ModelNode,List<ModelNode>)",89,4,18
"org.jboss.as.appclient.subsystem.parsing.AppClientXml.setServerName(ModelNode,List<ModelNode>,String)",6,3,3
"org.jboss.as.appclient.subsystem.parsing.AppClientXml.writeContent(XMLExtendedStreamWriter,ModelMarshallingContext)",4,2,1
"org.jboss.as.clustering.controller.AbstractResourceDefinition.AbstractResourceDefinition(Parameters)",3,1,1
"org.jboss.as.clustering.controller.AbstractResourceDefinition.AbstractResourceDefinition(PathElement,ResourceDescriptionResolver)",3,2,1
"org.jboss.as.clustering.controller.AbstractResourceDefinition.registerAttributes(ManagementResourceRegistration)",3,1,1
"org.jboss.as.clustering.controller.AbstractResourceDefinition.registerCapabilities(ManagementResourceRegistration)",3,1,1
"org.jboss.as.clustering.controller.AbstractResourceDefinition.registerChildren(ManagementResourceRegistration)",3,1,1
"org.jboss.as.clustering.controller.AbstractResourceDefinition.registerNotifications(ManagementResourceRegistration)",3,1,1
"org.jboss.as.clustering.controller.AbstractResourceDefinition.registerOperations(ManagementResourceRegistration)",3,1,1
"org.jboss.as.clustering.controller.AddIfAbsentStepHandler.AddIfAbsentStepHandler(BiPredicate<Resource, PathElement>)",3,1,1
"org.jboss.as.clustering.controller.AddIfAbsentStepHandler.execute(OperationContext,ModelNode)",8,2,2
"org.jboss.as.clustering.controller.AddStepHandler.AddStepHandler(AddStepHandlerDescriptor)",3,1,1
"org.jboss.as.clustering.controller.AddStepHandler.AddStepHandler(AddStepHandlerDescriptor,ResourceServiceHandler)",13,2,3
"org.jboss.as.clustering.controller.AddStepHandler.AddStepHandler(AddStepHandlerDescriptor,ResourceServiceHandler,OperationStepHandler)",6,3,1
"org.jboss.as.clustering.controller.AddStepHandler.addRequiredChildren(OperationContext,Collection<PathElement>,BiPredicate<Resource, PathElement>)",5,3,2
"org.jboss.as.clustering.controller.AddStepHandler.execute(OperationContext,ModelNode)",31,2,7
"org.jboss.as.clustering.controller.AddStepHandler.getDescriptor()",4,0,1
"org.jboss.as.clustering.controller.AddStepHandler.performRuntime(OperationContext,ModelNode,ModelNode)",6,3,2
"org.jboss.as.clustering.controller.AddStepHandler.populateModel(OperationContext,ModelNode,Resource)",10,3,2
"org.jboss.as.clustering.controller.AddStepHandler.recordCapabilitiesAndRequirements(OperationContext,ModelNode,Resource)",10,3,2
"org.jboss.as.clustering.controller.AddStepHandler.register(ManagementResourceRegistration)",9,1,1
